"Field","Description"
"VESSEL_CALLSIGN","A call sign is a designated sequence of letters and numbers that are assigned when a vessel, whether it be a sailing yacht, motor yacht, rib or commercial vessel, receives it's Ship Radio Licence. The vessel also receives it's MMSI number, so that each vessel is uniquely identified."
"VESSEL_COAST_GUARD_NUMBER","Official Identification number as defined by www.dco.uscg.mil. The Official Number (O/N) is the 6 or 7 digit number awarded to the vessel at the time it is first documented with the US Coast Guard. This number remains with the vessel indefinitely and should be marked in accordance with 46 CFR 67.121."
"VESSEL_ID","ID number of the vessel used to collect data for that haul. The column 'vessel_id' is associated with the 'vessel_name' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"VESSEL_IMO","The International Maritime Organization (IMO) number consists of the letters ""IMO"" followed by a unique, seven-digit number: the pattern is ""NNNNNNN"", where N is a single-digit number, e.g., ""1234567"""
"VESSEL_LENGTH_M","The length of vessel in meters."
"VESSEL_MMSI","Maritime Mobile Service Identities (MMSIs) are nine-digit numbers used by maritime digital selective calling (DSC), automatic identification systems (AIS) and certain other equipment to uniquely identify a ship or a coast radio station."
"VESSEL_NAME","Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"VESSEL_OWNER","Name of vessel owner or company."
"VESSEL_TONNAGE","The tonnage of vessel in metric tons."
"WEIGHT_KG","Weight (thousandths of a kilogram) of individuals in a haul by taxon."
"WIRE_LENGTH_M","Length of wire deployed during a given haul in meters."
"WORMS","Species code as identified in the World Register of Marine Species (WoRMS) (https://www.marinespecies.org/)."
"YEAR","Year the survey was conducted in."
"DATE_TIME_START","The date (MM/DD/YYYY) and time (HH:MM) of the beginning of the haul."
"DATE_TIME_END","The date (MM/DD/YYYY) and time (HH:MM) of the end of the haul."
"DATE_TIME","The date (MM/DD/YYYY) and time (HH:MM) of the haul."
"DATE_START","The date (YYYY-MM-DD) of the beginning of the event (e.g., cruise)."
"DATE_END","The date (YYYY-MM-DD) of the end of the event (e.g., cruise)."
"DATE","The date (YYYY-MM-DD) of the event (e.g., cruise)."
"SURVEY_SPECIES","Designates whether or not species name is accepted/actively used in the RACE surveys"
"ABUNDANCE_HAUL","Logical, describing if this haul was conducted in a standard manner and thus used for design-based index estimates (TRUE) or not (FALSE)."
"ACTIVE","Logical, describing if a vessel is active (TRUE) or not (FALSE)."
"AGE","Age bin of a taxon in years estimated by the age comp estimate."
"AGENCY_ACRONYM","Abbreviated agencies that are affiliated with the Alaska bottom trawl survey. The column 'agency_acronym' is associated with the 'agency_short' and 'agency_long' columns."
"AGENCY_JOIN","Affiliated agency ID code."
"AGENCY_LONG","Full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_long' is associated with the 'agency_acronym' and 'agency_short' columns."
"AGENCY_SHORT","A sort version of the full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_short' is associated with the 'agency_acronym' and 'agency_long' columns."
"AREA_ID","Area ID code for each statistical area used to produce production estimates (e.g., biomass, population, age comps, length comps). Each area ID is unique within each survey."
"AREA_KM2","Area in thousands of square kilometers."
"AREA_NAME","Descriptive name of each AREA_ID. These names often identify the region, depth ranges, or other regional information for the area ID."
"AREA_SWEPT_KM2","The area the net covered while the net was fishing (kilometers squared), defined as the distance fished times the net width."
"AREA_TYPE","The type of stratum that AREA_ID represents. Types include: STRATUM, REGION, DEPTH, SUBAREA, INPFC BY DEPTH, INPFC, SUBAREA BY DEPTH, REGULATORY AREA, NMFS STATISTICAL AREA."
"BIOMASS_CI_LOWER","The estimated biomass lower confidence interval caught in the survey for a species, group, or total for a given survey."
"BIOMASS_CI_UPPER","The estimated biomass upper confidence interval caught in the survey for a species, group, or total for a given survey."
"BIOMASS_DF","The estimated biomass degrees of freedom caught in the survey for a species, group, or total for a given survey."
"BIOMASS_MT","The estimated biomass caught in the survey for a species, group, or total for a given survey."
"BIOMASS_VAR","The estimated biomass variance caught in the survey for a species, group, or total for a given survey."
"BOTTOM_TEMPERATURE_C","Bottom temperature (tenths of a degree Celsius); NA indicates removed or missing values."
"BOTTOM_TYPE_CODE","Bottom type on sea floor at haul location. For a complete list of bottom type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"CLASS_TAXON","Phylogenetic latin rank of class_taxon of a given species."
"CLASSIFICATION","Phylogenetic classification group rank for a given species."
"COMMENTS","Comments regarding row observation."
