"NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY"
5001650102,0,1,"Idanthyrsus armatus (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001660000,0,1,"Pectinariidae (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001660200,0,1,"Cistenides sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001660203,0,1,"Cistenides hyperborea (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670000,50050,1,"Ampharetidae (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670100,0,1,"Amage sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670200,0,1,"Ampharete sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670206,0,1,"Ampharete reducta (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670208,0,1,"Ampharete acutifrons (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670300,0,1,"Amphicteis sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670500,0,1,"Melinna (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670501,0,1,"Melinna cristata (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670602,0,1,"Sabellides borealis (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001670901,0,1,"Glyphanostomum pallescens (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001680000,0,1,"Terebellidae (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001680101,0,1,"Amphitrite cirrata (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001680402,0,1,"Neoamphitrite groenlandica (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001680700,0,1,"Pista sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001680703,0,1,"Pista elongata",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001680800,0,1,"Polycirrus sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001681100,0,1,"Artacama sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001681102,0,1,"Artacama proboscidea (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001681600,0,1,"Lysilla sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001690000,0,1,"Trichobranchidae (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001690100,0,1,"Terebellides sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001690101,0,1,"Terebellides stroemi (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001700000,0,1,"Sabellidae (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001700100,0,1,"Chone sp. (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001700103,0,1,"Chone cincta (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001730000,0,1,"Serpulidae (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001730500,0,1,"Spirorbis sp.",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001950000,0,1,"Capitellida",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001960000,0,1,"Eunicida (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001970000,0,1,"Phyllodocida (pllychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001971000,0,1,"Glyceriformia",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001980000,0,1,"Sabellida (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5001990000,0,1,"Terebellida (polychaete)",0,NA,"MISC. PREY","Polychaete","Polychaete",NA,"INFAUNA",NA,"INFAUNA"
5.004e+09,0,1,"Oligochaeta (worm)",0,NA,"MISC. PREY","Misc. Worm. Etc.","Misc. Worm. Etc.",NA,"INFAUNA",NA,"INFAUNA"
5.012e+09,59100,1,"Hirudinea (leech)",0,NA,"MISC. PREY","Misc. Worm. Etc.","Misc. Worm. Etc.",NA,"INFAUNA",NA,"INFAUNA"
5.085e+09,70000,1,"Mollusca",0,NA,"MISC. PREY","Gen. Mollusc","Gen. Mollusc",NA,"INFAUNA",NA,"INFAUNA"
5.1e+09,71500,1,"Gastropoda (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5102100200,0,1,"Bathybembix sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103200500,0,1,"Rissoina sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103620204,0,1,"Trichotropis cancellata (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103640202,71681,1,"Crepidula grandis (grand slipper shell)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103660000,0,1,"Lamellariidae (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103730000,95103,1,"Heteropoda sp. (Mollusc)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103760000,71510,1,"Naticidae (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103760200,71525,1,"Natica sp. (moonsnail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103760402,0,1,"Polinices pallidus (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5103780101,72500,1,"Fusitriton oregonensis (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105040000,0,1,"Buccinidae (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105040100,72746,1,"Buccinum sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
