group,spp_name_informal,GOA,BSAI,NODC,species_code,NORPAC,NAME,BSIERP_PREY
NA,sablefish,1,1,8827020101,20510,203,Anoplopoma fimbria (sablefish),ROUNDFISH
NA,arrowtooth flounder,1,1,8857040102,10110,141,Atheresthes stomias (arrowtooth flounder),FLATS
NA,atka mackerel,1,1,8827010501,21921,204,Pleurogrammus monopterygius (Atka mackerel),ROUNDFISH
deepwater flatfish complex,dover sole,1,1,8857041201,10180,107,Microstomus pacificus (Dover sole),FLATS
deepwater flatfish complex,greeland turbot,1,1,8857041801,10115,102,Reinhardtius hippoglossoides (Greenland turbot),FLATS
deepwater flatfish complex,kamchatka flounder,1,,8857040101,10112,147,Atheresthes evermanni (Kamchatka flounder),FLATS
deepwater flatfish complex,deepsea sole,1,,8857040301,10190,110,Embassichthys bathybius (deepsea sole),FLATS
demersal shelf rockfish,yelloweye rockfish,1,,8826010134,30470,322,Sebastes ruberrimus (yelloweye rockfish),ROCKFISH
demersal shelf rockfish,quillback rockfish,1,,8826010120,30320,343,Sebastes maliger (quillback rockfish),ROCKFISH
demersal shelf rockfish,copper rockfish,1,,NA,30120,NA,Sebastes caurinus (copper rockfish),NA
demersal shelf rockfish,rosethorn rockfish,1,,8826010118,30270,309,Sebastes helvomaculatus (rosethorn rockfish),ROCKFISH
demersal shelf rockfish,China rockfish,1,,NA,30370,NA,Sebastes nebulosus (China rockfish),NA
demersal shelf rockfish,canary rockfish,1,,8826010128,30410,314,Sebastes pinniger (canary rockfish),ROCKFISH
demersal shelf rockfish,tiger rockfish,1,,NA,30380,NA,Sebastes nigrocinctus (tiger rockfish),NA
NA,dusky rockfish,1,,8826010198,30152,NA,Sebastes variabilis (dusky rockfish),ROCKFISH
NA,flathead sole,1,1,8857040601,10130,103,Hippoglossoides elassodon (flathead sole),FLATS
forage fish,pacific herring,1,,8747010201,21110,611,Clupea pallasi (Pacific herring),PACIFIC HERRING
forage fish,Osmeridae,1,,8755030000,23000,602,Osmeridae (smelts),ROUNDFISH
forage fish,surf smelt,1,1,8755030101,23020,613,Hypomesus pretiosus (surf smelt),OP smelt
forage fish,capelin,1,1,8755030201,23041,604,Mallotus villosus (capelin),Capelin
forage fish,Trhichodontidae,1,1,NA,NA,NA,NA,NA
forage fish,Stichaeidae,1,1,NA,NA,NA,NA,NA
forage fish,Stichaeidae,1,1,NA,NA,NA,NA,NA
forage fish,Pholidae,1,1,NA,NA,NA,NA,NA
forage fish,Myctophidae,1,1,NA,NA,NA,NA,NA
forage fish,Bathylagidae,1,1,NA,NA,NA,NA,NA
forage fish,Gonostomatidae,1,1,NA,NA,NA,NA,NA
forage fish,Euphausiacea,1,1,NA,NA,NA,NA,NA
Grenadiers,giant grenadier,1,1,8794010108,21230,82,Albatrosia pectoralis (giant grenadier),Macrouridae
Grenadiers,Pacific grenadier,1,1,8794010101,21220,81,Coryphaenoides acrolepis (Pacific grenadier),Macrouridae
Grenadiers,popeye grenadier,1,1,8794010105,21232,1,Coryphaenoides cinereus (popeye grenadier),Macrouridae
NA,Northern rockfish,1,1,8826010129,30420,303,Sebastes polyspinis (northern rockfish),ROCKFISH
Octopus,Enteroctopus dofleini,1,1,5708010201,78403,1,Octopus dofleini (giant Pacific octopus),Octopus
Other rockfish,unidentified rockfish,1,1,8826010100,30040,300,Sebastes sp. (rockfish),ROCKFISH
