"Field","Description"
"ABUNDANCE_HAUL","Logical, describing if this haul was conducted in a standard manner and thus used for design-based index estimates (TRUE) or not (FALSE)."
"ACCESSORIES","Type of accessories used on net. For a complete list of accessories ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"ACTIVE","Logical, describing if a vessel is active (TRUE) or not (FALSE)."
"AGE_DETERMINATION_METHODS","A unique ID used to identify this age determination method."
"AGE_YEAR","Age bin of a taxon in years estimated by the age comp estimate."
"AGENCY_ACRONYM","Abbreviated agencies that are affiliated with the Alaska bottom trawl survey. The column 'agency_acronym' is associated with the 'agency_short' and 'agency_long' columns."
"AGENCY_JOIN","Affiliated agency ID key code."
"AGENCY_LONG","Full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_long' is associated with the 'agency_acronym' and 'agency_short' columns."
"AGENCY_SHORT","A sort version of the full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_short' is associated with the 'agency_acronym' and 'agency_long' columns."
"AREA_ID","Area ID key code for each statistical area used to produce production estimates (e.g., biomass, population, age comps, length comps). Each area ID is unique within each survey."
"AREA_KM2","Area in square kilometers."
"AREA_NAME","Descriptive name of each AREA_ID. These names often identify the region, depth ranges, or other regional information for the area ID."
"AREA_SWEPT_KM2","The area the net covered while the net was fishing (kilometers squared), defined as the distance fished times the net width."
"AREA_TYPE","The type of stratum that AREA_ID represents. Types include: STRATUM (the smallest building-block unit of area in these surveys), REGION, DEPTH, SUBAREA, INPFC BY DEPTH, INPFC, SUBAREA BY DEPTH, REGULATORY AREA, NMFS STATISTICAL AREA."
"BIOMASS_MT","The estimated total biomass."
"BIOMASS_VAR","The estimated variance associated with the total biomass."
"BOTTOM_TEMPERATURE_C","Bottom temperature (tenths of a degree Celsius); NA indicates removed or missing values."
"BOTTOM_TYPE","Bottom type on sea floor at haul location. For a complete list of bottom type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"CATCHJOIN","Unique integer ID assigned to each survey, vessel, year, and catch observation combination."
"CLASS_TAXON","Phylogenetic latin rank of class of a given species."
"CLASSIFICATION","Phylogenetic classification group rank for a given species."
"COLLECTED_BY","Initials of person who collected specimen in the field"
"COMMENTS","Comments regarding row observation."
"COMMON_NAME","The common name of the marine organism associated with the 'scientific_name' and 'species_code' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"COUNT","Total whole number of individuals caught in haul or samples collected."
"COUNTRY_ID","Country ID key code of where a vessel, for example, may be from. For a complete list of country ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"CPUE_KGHA","Catch weight (kilograms) per unit effort (area swept by the net, units hectares)."
"CPUE_KGKM2","Catch weight (kilograms) per unit effort (area swept by the net, units square kilometers)."
"CPUE_KGKM2_MEAN","The mean catch weight (kilograms) per unit effort (area swept by the net, units squared kilometers)."
"CPUE_KGKM2_VAR","The variance of mean catch weight (kilograms) per unit effort (area swept by the net, units squared kilometers)."
"CPUE_NOHA","Numerical catch per unit effort (area swept by the net, units hectares)."
"CPUE_NOKM2","Numerical catch per unit effort (area swept by the net, units square kilometers)."
"CPUE_NOKM2_MEAN","The mean of numerical catch per unit effort (area swept by the net, units square kilometers)."
"CPUE_NOKM2_VAR","The variance of mean numerical catch per unit effort (area swept by the net, units square kilometers)."
"CRS","The coordinate reference system (CRS) that shapefiles were created in or areas (like AREA_KM2) are calculated in, as defined by https://spatialreference.org/ (e.g., ""+proj=longlat"", ""EPSG:3338"")."
"CRUISE","This is a six-digit integer identifying the cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.)."
"CRUISEJOIN","Unique integer ID assigned to each survey, vessel, and year combination."
"DATABASE","Taxonomic database source, either ITIS or WoRMS."
"DATABASE_ID","Species ID key code of a species in the taxonomic ""DATABASE"" source."
"DATE","The date (YYYY-MM-DD) of the event (e.g., cruise)."
"N_SAMPLE","Total number of hauls with positive sample collection."
"NET_HEIGHT_M","Measured or estimated distance (meters) between footrope and headrope of the trawl."
"NET_MEASURED","Logical, describing if the net was measured (TRUE) or not (FALSE) by wheelhouse and marport programs during the haul."
"NET_WIDTH_M","Measured or estimated distance (meters) between wingtips of the trawl."
"NEW_ID","Confirmed taxonomist identification of the vouchered specimen"
"ORDER_TAXON","Phylogenetic latin rank of order of a given species."
"ORIGINAL_ID","Field identification for the vouchered specimen"
"PERFORMANCE","This denotes what, if any, issues arose during the haul. For more information, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"PHYLUM_TAXON","Phylogenetic latin rank of phylum of a given species."
"POPULATION_COUNT","The estimated population caught in the survey for a species, group, or total for a given survey."
"POPULATION_VAR","The estimated population variance caught in the survey for a species, group, or total for a given survey."
"PRINCIPAL_INVESTIGATOR","First and last name of principal investigator for a project."
"PROJECT_TITLE","Special project title."
"PROJECT_TITLE_SHORT","Special project short title (short version of PROJECT_TITLE)."
"RANK_ID","The taxonomic rank of a taxon identification."
"REASON","Reason for taxonomic change; pulled directly from online database (i.e. WoRMS or ITIS)"
"SAMPLE_TYPE","Sampling information on how the taxon was sampled. For a complete list of length_type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SCIENTIFIC_NAME","The scientific name of the organism associated with the 'common_name' and 'species_code' columns. For a complete taxon list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SEX","Sex of a specimen where ""1"" = ""Male"", ""2"" = ""Female"", ""3"" = Unsexed."
"SPECIES_CODE","The species code of the organism associated with the 'common_name' and 'scientific_name' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SPECIES_NAME","Scientific name of species."
"SPECIES_NAME_ACCEPTED","Scientific name of species used in taxonomic ""DATABASE"" column."
"SPECIES_NAME_SURVEY","Scientific name of species historically or currently used in the survey."
"SPECIMEN_ID","Each individual examined must have a number assigned to it that is unique within each haul (0001 to 9999), though specimen numbers may be repeated between hauls"
"SPECIMEN_SAMPLE_TYPE","The specimen sample type ID key code as defined in the RACE_DATA.SPECIMEN_SAMPLE_TYPES table. For a complete list of Specimen sample type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SPECIMEN_SUBSAMPLE_METHOD","For a complete list of specimen subsample method ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SRVY","Abbreviated survey names. The column 'srvy' is associated with the 'survey' and 'survey_definition_id' columns. Northern Bering Sea (NBS), Southeastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), Aleutian Islands (AI)."
"STANDARD_LENGTH_MM","Standard length of specimen or range of lengths if multiple specimens in lot; measured by taxonomists in lab"
"STATION","Alpha-numeric designation for the station established in the design of a survey."
"STRATUM","RACE database statistical area for analyzing data. Strata were designed using bathymetry and other geographic and habitat-related elements. The strata are unique to each survey region. Stratum of value 0 indicates experimental tows."
"SUBCLASS_TAXON","Phylogenetic latin rank of subclass of a given species."
"SUBFAMILY_TAXON","Phylogenetic latin rank of subfamily of a given species."
"SUBMISSION_DATE","Date special projects were due to be submitted for the upcoming survey season."
"SUBORDER_TAXON","Phylogenetic latin rank of suborder of a given species."
"SUBPHYLUM_TAXON","Phylogenetic latin rank of subphylum of a given species."
"SUPERCLASS_TAXON","Phylogenetic latin rank of superclass of a given species."
